#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Legendary
1,Bulbasaur,Grass,Poison,318,45,49,49,65,65,45,False
2,Ivysaur,Grass,Poison,405,60,62,63,80,80,60,False
3,Venusaur,Grass,Poison,525,80,82,83,100,100,80,False
4,Charmander,Fire,,309,39,52,43,60,50,65,False
5,Charmeleon,Fire,,405,58,64,58,80,65,80,False
6,Charizard,Fire,Flying,534,78,84,78,109,85,100,False
7,Squirtle,Water,,314,44,48,65,50,64,43,False
8,Wartortle,Water,,405,59,63,80,65,80,58,False
9,Blastoise,Water,,530,79,83,100,85,105,78,False
10,Caterpie,Bug,,195,45,30,35,20,20,45,False
11,Metapod,Bug,,205,50,20,55,25,25,30,False
12,Butterfree,Bug,Flying,395,60,45,50,90,80,70,False
13,Weedle,Bug,Poison,195,40,35,30,20,20,50,False
14,Kakuna,Bug,Poison,205,45,25,50,25,25,35,False
15,Beedrill,Bug,Poison,395,65,90,40,45,80,75,False
16,Pidgey,Normal,Flying,251,40,45,40,35,35,56,False
17,Pidgeotto,Normal,Flying,349,63,60,55,50,50,71,False
18,Pidgeot,Normal,Flying,479,83,80,75,70,70,101,False
19,Rattata,Normal,,253,30,56,35,25,35,72,False
20,Raticate,Normal,,413,55,81,60,50,70,97,False
21,Spearow,Normal,Flying,262,40,60,30,31,31,70,False
22,Fearow,Normal,Flying,442,65,90,65,61,61,100,False
23,Ekans,Poison,,288,35,60,44,40,54,55,False
24,Arbok,Poison,,438,60,85,69,65,79,80,False
25,Pikachu,Electric,,320,35,55,40,50,50,90,False
26,Raichu,Electric,,485,60,90,55,90,80,110,False
27,Sandshrew,Ground,,300,50,75,85,20,30,40,False
28,Sandslash,Ground,,450,75,100,110,45,55,65,False
29,Nidoran♀,Poison,,275,55,47,52,40,40,41,False
30,Nidorina,Poison,,365,70,62,67,55,55,56,False
31,Nidoqueen,Poison,Ground,505,90,92,87,75,85,76,False
32,Nidoran♂,Poison,,273,46,57,40,40,40,50,False
33,Nidorino,Poison,,365,61,72,57,55,55,65,False
34,Nidoking,Poison,Ground,505,81,102,77,85,75,85,False
35,Clefairy,Fairy,,323,70,45,48,60,65,35,False
36,Clefable,Fairy,,483,95,70,73,95,90,60,False
37,Vulpix,Fire,,299,38,41,40,50,65,65,False
38,Ninetales,Fire,,505,73,76,75,81,100,100,False
39,Jigglypuff,Normal,Fairy,270,115,45,20,45,25,20,False
40,Wigglytuff,Normal,Fairy,435,140,70,45,85,50,45,False
41,Zubat,Poison,Flying,245,40,45,35,30,40,55,False
42,Golbat,Poison,Flying,455,75,80,70,65,75,90,False
43,Oddish,Grass,Poison,320,45,50,55,75,65,30,False
44,Gloom,Grass,Poison,395,60,65,70,85,75,40,False
45,Vileplume,Grass,Poison,490,75,80,85,110,90,50,False
46,Paras,Bug,Grass,285,35,70,55,45,55,25,False
47,Parasect,Bug,Grass,405,60,95,80,60,80,30,False
48,Venonat,Bug,Poison,305,60,55,50,40,55,45,False
49,Venomoth,Bug,Poison,450,70,65,60,90,75,90,False
50,Diglett,Ground,,265,10,55,25,35,45,95,False
51,Dugtrio,Ground,,405,35,80,50,50,70,120,False
52,Meowth,Normal,,290,40,45,35,40,40,90,False
53,Persian,Normal,,440,65,70,60,65,65,115,False
54,Psyduck,Water,,320,50,52,48,65,50,55,False
55,Golduck,Water,,500,80,82,78,95,80,85,False
56,Mankey,Fighting,,305,40,80,35,35,45,70,False
57,Primeape,Fighting,,455,65,105,60,60,70,95,False
58,Growlithe,Fire,,350,55,70,45,70,50,60,False
59,Arcanine,Fire,,555,90,110,80,100,80,95,False
60,Poliwag,Water,,300,40,50,40,40,40,90,False
61,Poliwhirl,Water,,385,65,65,65,50,50,90,False
62,Poliwrath,Water,Fighting,510,90,95,95,70,90,70,False
63,Abra,Psychic,,310,25,20,15,105,55,90,False
64,Kadabra,Psychic,,400,40,35,30,120,70,105,False
65,Alakazam,Psychic,,500,55,50,45,135,95,120,False
66,Machop,Fighting,,305,70,80,50,35,35,35,False
67,Machoke,Fighting,,405,80,100,70,50,60,45,False
68,Machamp,Fighting,,505,90,130,80,65,85,55,False
69,Bellsprout,Grass,Poison,300,50,75,35,70,30,40,False
70,Weepinbell,Grass,Poison,390,65,90,50,85,45,55,False
71,Victreebel,Grass,Poison,490,80,105,65,100,70,70,False
72,Tentacool,Water,Poison,335,40,40,35,50,100,70,False
73,Tentacruel,Water,Poison,515,80,70,65,80,120,100,False
74,Geodude,Rock,Ground,300,40,80,100,30,30,20,False
75,Graveler,Rock,Ground,390,55,95,115,45,45,35,False
76,Golem,Rock,Ground,495,80,120,130,55,65,45,False
77,Ponyta,Fire,,410,50,85,55,65,65,90,False
78,Rapidash,Fire,,500,65,100,70,80,80,105,False
79,Slowpoke,Water,Psychic,315,90,65,65,40,40,15,False
80,Slowbro,Water,Psychic,490,95,75,110,100,80,30,False
81,Magnemite,Electric,Steel,325,25,35,70,95,55,45,False
82,Magneton,Electric,Steel,465,50,60,95,120,70,70,False
83,Farfetch'd,Normal,Flying,352,52,65,55,58,62,60,False
84,Doduo,Normal,Flying,310,35,85,45,35,35,75,False
85,Dodrio,Normal,Flying,460,60,110,70,60,60,100,False
86,Seel,Water,,325,65,45,55,45,70,45,False
